porB,tbpB,ST
1,24,1
2,16,2
2,5,3
3,4,4
4,33,5
5,16,6
6,5,7
7,3,8
7,18,9
7,16,10
7,5,11
8,5,12
9,3,13
10,40,14
108,19,15
108,20,16
11,26,17
12,16,18
12,25,19
13,4,20
14,33,21
15,35,22
16,28,23
17,16,24
18,27,25
19,24,26
19,35,27
19,4,28
20,24,29
21,26,30
22,34,31
22,30,32
23,17,33
24,16,34
25,33,35
26,4,36
27,29,37
28,19,38
29,29,39
30,35,40
31,16,41
31,25,42
32,16,43
33,5,44
33,26,45
34,24,46
35,48,47
36,5,48
37,26,49
38,16,50
39,27,51
39,36,52
40,24,54
41,29,55
42,16,56
43,31,57
44,24,58
45,16,59
46,24,60
47,39,61
48,3,62
49,32,63
50,29,64
51,19,65
52,33,66
54,26,67
55,29,68
55,4,69
56,27,70
57,19,71
58,16,72
59,23,73
60,11,74
61,42,75
62,11,76
63,38,77
64,43,78
64,23,79
65,45,80
66,25,81
67,47,82
68,24,83
69,33,84
70,24,85
71,16,86
73,16,87
74,5,88
75,21,89
76,3,90
77,24,91
79,4,92
80,16,93
81,33,94
82,24,95
83,16,96
84,24,97
85,46,98
94,22,99
59,57,100
133,3,101
132,58,102
131,55,103
134,35,104
9,23,105
9,50,106
9,59,107
100,24,108
101,23,109
102,46,110
103,18,111
104,21,112
105,32,113
106,28,114
107,63,115
109,67,116
110,21,117
110,60,118
111,63,119
112,18,120
113,63,121
114,3,122
115,63,123
116,64,124
117,19,125
118,19,126
119,61,127
120,60,128
121,18,129
121,21,130
122,32,131
123,18,132
124,65,133
125,23,134
126,68,135
127,29,136
129,21,137
130,71,138
145,74,139
146,70,140
147,4,141
147,75,142
148,21,143
149,21,144
150,56,145
17,77,146
53,21,147
59,69,148
64,21,149
64,62,150
64,64,151
214,33,152
78,33,153
87,33,154
88,21,155
89,33,156
90,66,157
90,73,158
91,70,159
91,72,160
91,76,161
92,71,162
93,21,163
95,16,164
96,46,165
97,21,166
98,23,167
184,100,168
53,78,169
50,44,170
135,1,171
90,2,172
136,4,173
137,6,174
139,8,175
140,9,176
141,10,177
142,6,178
46,11,179
76,12,180
116,32,181
102,13,182
143,14,183
144,15,184
223,33,185
224,16,186
225,27,187
226,3,188
121,49,189
227,26,190
28,50,191
228,51,192
95,52,193
90,49,195
90,53,196
230,16,197
45,26,198
128,3,199
169,16,200
147,54,201
151,21,202
152,78,203
163,25,204
164,4,205
165,21,206
166,97,207
167,85,208
168,21,209
59,4,210
90,58,211
215,78,212
216,92,213
219,93,214
221,95,215
222,96,216
158,4,217
161,82,218
156,58,219
152,21,220
160,81,221
159,33,222
53,83,223
2,88,224
4,4,225
22,16,226
22,87,227
23,27,228
31,3,229
343,16,231
98,50,232
150,86,233
169,3,234
170,16,235
171,25,236
172,16,237
173,5,238
174,27,239
175,26,240
176,16,241
177,16,242
178,3,243
179,24,244
180,29,245
181,26,246
182,21,247
183,87,248
185,27,249
186,5,250
187,33,251
188,21,252
189,16,253
190,3,254
191,5,255
192,16,256
193,42,257
194,9,258
195,33,259
196,33,260
197,11,261
198,89,262
198,16,263
199,11,264
200,3,265
201,90,266
202,91,267
203,5,268
204,3,269
206,33,270
207,9,271
208,24,272
209,27,273
210,4,274
211,91,275
212,27,276
213,27,277
4,27,278
53,79,279
14,78,280
153,78,281
154,33,282
155,33,283
157,4,284
232,4,285
105,21,286
220,94,287
233,98,288
234,4,289
152,79,290
147,1,291
28,4,292
14,21,293
162,21,294
235,27,295
91,99,296
205,101,297
30,29,298
2,27,299
236,24,300
237,3,301
238,29,302
239,5,303
4,75,304
90,102,305
90,105,306
90,106,307
90,109,308
90,111,309
103,103,310
132,4,311
206,113,312
240,4,313
241,75,314
242,104,315
243,21,316
244,21,317
245,6,318
246,107,319
247,93,320
248,75,321
249,29,322
250,4,323
252,75,324
253,21,325
254,10,326
255,21,327
257,33,328
258,114,329
259,33,330
132,112,331
147,108,332
247,21,333
90,110,334
298,78,335
276,4,336
182,110,337
90,121,338
277,21,339
90,4,340
53,122,341
215,5,342
281,127,343
217,4,344
158,33,345
241,4,346
187,4,347
286,21,348
152,4,350
283,21,351
30,134,352
7,63,353
282,78,354
90,133,355
61,27,356
299,91,357
300,19,358
301,29,359
302,25,360
305,25,361
306,78,362
303,27,363
55,25,364
307,91,365
64,46,366
96,131,367
251,136,368
256,137,369
262,25,370
304,24,371
309,29,372
315,141,373
316,16,374
317,16,375
87,17,376
121,60,377
147,129,378
202,120,379
206,126,380
260,35,381
261,116,382
341,21,383
263,26,384
264,4,385
265,117,386
266,118,387
267,24,388
268,119,389
269,29,390
270,19,391
271,21,392
272,16,393
273,63,394
274,21,395
28,123,396
289,124,397
290,4,398
291,125,399
292,35,400
293,115,401
294,21,402
295,16,403
296,21,404
297,128,405
96,25,407
19,139,408
280,16,409
287,29,410
288,27,411
30,16,412
308,18,413
342,24,414
310,29,415
311,33,416
313,78,417
314,24,418
315,75,419
44,138,420
206,156,421
6,63,422
61,16,423
7,33,424
69,21,425
326,21,426
327,21,427
315,21,428
328,21,429
90,144,430
217,21,431
91,21,432
147,21,433
69,4,434
330,58,435
90,21,436
14,4,437
53,39,438
90,96,439
250,33,440
53,108,441
53,24,442
53,146,443
331,146,444
281,146,445
158,58,446
53,4,447
53,75,448
4,145,449
332,75,450
333,33,451
329,21,452
319,143,453
320,21,454
321,16,455
323,16,456
324,35,457
4,5,458
322,27,459
3,135,460
279,33,461
262,33,462
262,19,463
227,21,464
18,4,465
18,19,466
18,142,467
157,338,468
19,135,469
339,29,470
185,16,471
337,33,472
59,148,473
325,21,474
116,21,475
105,145,476
314,4,477
347,26,478
28,35,479
1,16,480
28,26,481
59,26,482
63,136,483
251,27,484
345,16,485
2,158,486
33,42,487
348,18,488
349,5,489
381,60,490
350,33,491
351,160,492
352,161,493
55,27,494
91,32,495
90,162,497
353,27,498
226,33,499
90,163,500
90,164,501
251,165,502
90,166,503
90,167,504
90,119,505
354,168,506
355,16,507
356,28,508
357,169,509
333,170,510
358,16,511
63,16,512
359,29,513
62,16,514
333,21,515
360,5,516
236,4,518
237,4,519
174,4,520
174,150,521
238,151,522
121,152,523
361,4,524
362,4,525
363,4,526
364,4,527
158,154,528
365,4,529
361,61,530
121,4,531
366,4,532
367,4,533
368,4,534
121,153,535
184,153,536
33,16,537
137,7,538
369,21,539
370,10,540
371,27,541
380,27,542
372,35,543
373,4,544
63,171,545
374,35,546
375,4,547
379,27,548
377,5,549
378,5,550
152,17,551
382,27,552
383,21,553
384,159,554
385,21,555
90,122,556
7,172,557
386,33,558
387,21,559
388,83,560
376,75,561
389,173,562
390,108,563
391,21,564
53,33,565
315,33,566
315,10,567
90,33,568
90,27,569
182,58,570
26,21,571
52,21,572
90,92,573
132,105,574
18,16,575
39,16,576
197,159,577
166,16,578
151,78,579
318,149,580
96,165,581
7,171,582
18,5,583
7,27,584
174,55,585
302,32,586
266,29,587
14,35,588
395,16,589
396,61,590
197,175,591
397,63,592
39,176,593
2,177,594
39,63,595
59,21,596
398,122,597
399,23,598
400,35,599
401,4,600
402,29,601
394,16,602
403,5,603
404,4,604
405,118,605
406,32,606
406,21,607
407,178,608
345,171,609
39,2,610
3,16,611
33,4,612
410,33,613
39,179,614
409,27,615
411,60,616
412,4,617
413,181,618
414,180,619
417,27,620
90,18,621
418,5,622
116,76,623
419,182,624
147,27,625
420,4,626
421,27,627
422,118,628
423,4,629
424,75,630
425,27,631
426,27,632
18,161,633
427,63,634
428,29,635
2,183,636
33,175,637
429,184,638
217,111,639
222,185,640
90,186,641
101,35,642
433,160,643
432,33,644
435,188,645
436,33,646
434,35,647
441,16,648
442,29,649
437,26,650
438,118,651
439,27,652
440,24,653
3,29,654
201,10,655
103,58,656
53,10,657
64,146,658
90,50,659
446,32,660
443,10,661
451,192,662
448,32,663
450,33,664
445,189,665
447,24,666
449,190,667
444,110,668
90,191,669
452,4,670
453,4,671
454,4,672
455,4,673
456,21,674
458,93,676
459,32,677
460,74,678
19,194,679
461,195,680
103,196,681
462,29,682
335,16,683
279,35,684
105,24,685
12,27,686
30,24,687
98,4,688
407,4,689
430,4,690
59,16,691
282,3,692
379,16,693
12,64,694
81,4,695
105,29,696
463,27,697
33,159,698
464,32,699
465,19,700
466,6,701
468,29,702
469,29,703
471,17,704
472,16,705
473,126,706
475,35,707
478,4,708
479,171,709
480,16,710
481,46,711
482,27,712
484,4,713
485,185,714
486,27,715
487,29,716
90,198,717
197,199,718
4,200,719
2,201,720
62,202,721
90,203,722
1,204,723
251,205,724
476,206,725
132,207,726
231,208,727
488,197,728
491,21,729
59,29,730
96,16,731
163,209,732
494,210,733
492,4,734
242,4,735
91,211,736
495,21,737
4,21,738
230,88,739
496,21,740
493,33,741
152,213,742
497,4,743
4,214,744
498,21,745
499,215,746
500,33,747
501,204,748
502,21,749
53,119,750
503,21,751
289,16,752
505,75,753
506,6,754
507,4,755
87,4,756
262,4,757
90,29,758
508,21,759
509,93,760
335,18,761
12,212,763
250,217,764
12,23,765
35,18,766
30,218,767
510,24,768
511,24,769
512,26,770
513,26,771
103,21,772
514,219,773
242,33,774
515,220,775
516,221,776
12,63,777
467,4,778
280,5,779
517,16,780
518,3,781
519,25,782
90,222,783
520,60,784
521,5,785
522,27,786
523,16,787
525,26,788
526,223,789
527,21,790
528,32,791
529,224,792
530,29,793
531,4,794
201,225,795
532,21,796
533,29,797
534,103,798
30,33,799
535,4,800
538,33,801
539,29,802
540,2,803
265,4,804
541,16,805
39,5,806
37,27,807
542,61,808
543,33,809
544,33,810
545,4,811
546,186,812
547,16,813
548,171,814
549,118,815
550,29,816
551,33,817
552,227,818
316,3,819
553,5,820
554,33,821
555,4,822
227,228,823
556,2,824
558,21,825
559,24,826
560,27,827
231,29,828
212,11,829
561,9,830
562,33,831
563,5,832
564,24,833
565,26,834
566,10,835
569,4,836
570,21,837
90,229,838
571,230,839
4,231,840
572,4,841
573,35,842
574,24,843
575,26,844
542,232,845
568,21,846
31,89,847
576,108,848
577,18,849
578,26,850
579,27,851
505,233,852
580,234,853
581,235,854
582,75,855
206,236,856
583,110,857
584,25,858
585,24,859
586,25,860
587,4,861
250,156,862
314,107,863
505,107,864
101,24,865
61,24,866
588,21,867
589,16,868
590,29,869
591,21,870
592,35,871
406,238,872
593,33,873
7,237,874
594,29,875
59,166,876
557,26,877
7,4,878
266,16,879
489,4,880
515,27,881
602,75,882
595,16,883
596,239,884
597,74,885
598,5,886
599,137,887
600,16,888
361,240,889
601,4,890
603,4,891
604,4,892
181,6,893
605,166,894
606,16,895
608,26,896
609,29,897
610,242,898
4,243,899
611,21,900
250,111,901
618,248,902
95,18,903
624,74,904
623,219,905
617,249,906
616,63,907
201,244,908
627,246,909
90,74,910
625,32,911
318,74,912
619,27,913
614,247,914
622,245,915
201,250,916
626,169,917
621,6,918
206,39,919
620,4,920
356,25,921
613,3,922
612,3,923
615,251,924
628,110,925
90,252,927
39,226,928
607,21,929
209,16,930
631,4,931
206,255,932
131,256,933
632,21,934
634,21,935
635,21,936
53,259,937
636,260,938
633,258,939
637,112,940
646,4,941
638,261,942
640,29,943
641,18,944
642,262,945
634,33,946
644,6,947
645,180,948
483,27,949
266,174,950
647,263,951
648,4,952
649,16,953
650,16,954
651,24,955
301,264,956
652,16,957
653,265,958
415,21,959
416,29,960
654,27,961
655,27,962
656,24,963
30,4,964
658,266,965
64,76,966
657,35,967
567,33,968
59,35,969
166,118,970
659,33,971
91,4,972
660,4,973
661,33,974
645,26,975
50,27,976
121,2,977
430,32,978
431,27,979
260,27,980
4,26,981
209,29,982
61,3,983
90,118,984
536,17,985
537,16,986
2,29,987
55,35,988
96,171,989
381,63,990
53,29,991
53,171,992
301,35,993
50,6,994
28,29,995
61,189,996
662,4,997
596,39,998
663,267,999
664,268,1000
90,269,1001
665,4,1002
666,32,1003
28,257,1004
630,254,1005
667,4,1006
470,32,1007
668,27,1008
669,4,1009
90,175,1010
206,271,1011
670,27,1013
672,25,1014
673,25,1015
39,111,1016
674,5,1017
676,137,1018
35,272,1019
675,27,1020
677,4,1021
678,26,1022
184,156,1023
679,21,1024
680,171,1025
671,29,1026
490,33,1027
524,4,1028
639,63,1029
681,50,1030
567,274,1031
30,76,1032
121,227,1033
430,33,1034
59,98,1035
536,24,1036
537,27,1037
61,4,1038
177,275,1039
50,25,1040
4,131,1041
147,60,1042
685,25,1043
398,21,1044
686,276,1045
687,111,1046
688,21,1047
689,21,1048
91,277,1049
182,278,1050
389,111,1051
609,4,1052
182,33,1053
132,74,1054
581,4,1055
609,186,1056
690,33,1057
691,18,1058
692,5,1059
693,27,1060
694,171,1061
4,280,1062
474,281,1063
477,270,1064
682,180,1065
301,27,1066
695,283,1067
696,284,1068
147,285,1069
581,286,1070
697,287,1071
698,6,1072
699,111,1073
90,288,1074
700,4,1075
141,285,1076
581,289,1077
701,21,1078
702,4,1079
669,21,1080
206,104,1081
201,4,1082
206,74,1083
581,74,1084
389,2,1085
581,21,1086
44,180,1088
703,4,1089
705,25,1090
706,21,1091
18,21,1092
708,187,1093
709,137,1094
710,10,1095
711,16,1096
712,242,1097
713,4,1098
714,21,1099
697,295,1100
30,28,1101
2,118,1102
195,4,1103
64,16,1104
39,4,1105
693,4,1106
381,58,1107
2,35,1108
18,25,1109
59,27,1110
3,280,1111
274,27,1112
707,27,1113
645,5,1114
28,270,1115
334,33,1116
674,16,1117
35,16,1118
262,267,1119
704,118,1120
683,4,1121
230,21,1122
753,307,1123
750,5,1124
754,18,1125
755,4,1126
756,25,1127
757,118,1128
121,308,1129
758,4,1130
759,291,1131
760,4,1132
761,35,1133
762,187,1134
715,88,1135
716,29,1136
717,292,1137
718,293,1138
4,294,1139
719,33,1140
720,35,1141
721,63,1142
722,3,1143
723,282,1144
724,25,1145
725,60,1146
726,33,1147
727,4,1148
728,33,1149
737,25,1150
228,298,1151
738,118,1152
739,3,1153
740,29,1154
741,299,1155
302,300,1156
63,301,1157
742,25,1158
743,302,1159
733,296,1160
744,241,1161
745,273,1162
746,303,1163
375,304,1164
747,305,1165
748,16,1166
749,4,1167
729,21,1168
730,26,1169
731,4,1170
732,295,1171
734,27,1172
735,5,1173
736,78,1174
266,297,1175
751,10,1176
752,35,1177
763,4,1178
764,103,1179
765,92,1180
766,29,1181
767,26,1182
124,272,1183
260,21,1184
768,29,1185
769,33,1186
398,121,1187
2,309,1188
152,310,1189
768,311,1190
684,27,1191
177,306,1192
737,5,1193
746,3,1194
702,29,1195
2,303,1196
771,27,1198
772,16,1199
773,16,1200
774,4,1201
775,27,1202
776,21,1203
266,3,1204
777,270,1205
778,32,1206
779,29,1207
780,16,1208
431,35,1209
781,88,1210
2,312,1211
2,313,1212
782,25,1213
147,197,1214
783,33,1215
784,272,1216
785,137,1217
90,314,1218
786,33,1219
787,315,1220
788,29,1221
379,316,1222
90,103,1223
158,144,1224
384,21,1225
794,27,1226
798,318,1227
792,16,1228
795,319,1229
793,27,1230
791,16,1231
23,5,1232
796,317,1233
797,63,1234
789,16,1235
790,16,1236
799,21,1237
90,320,1238
158,94,1239
383,321,1241
3,321,1242
802,4,1244
150,322,1245
121,74,1246
182,74,1247
803,33,1248
804,4,1249
805,4,1250
806,305,1251
807,10,1252
808,10,1253
123,323,1254
182,18,1255
256,18,1256
809,18,1257
