penA,mtrR,porB,ponA,gyrA,parC,rRNA23S,ST
22.001,10,13,0,0,2,0,1
15.001,14,14,0,0,7,0,2
2.001,1,13,1,5,1,0,3
10.001,19,8,1,2,5,0,4
7.001,25,8,1,2,11,0,5
2.001,19,8,1,1,1,0,6
2.001,26,13,1,1,12,0,7
12.001,1,8,1,0,7,0,8
2.001,32,2,0,0,0,0,9
5.003,1,12,1,1,3,0,10
1.002,5,0,0,0,0,0,11
22.001,10,5,1,0,1,0,12
15.001,5,14,0,0,2,0,13
12.001,22,8,1,0,1,0,14
10.001,19,8,1,5,2,0,15
42.001,1,11,1,1,3,0,16
0.001,18,14,0,0,1,0,17
0.001,18,14,0,3,1,0,18
1.001,4,0,0,0,1,0,19
1.001,5,0,0,0,1,0,20
1.001,7,1,0,0,2,0,21
10.001,1,8,1,1,3,0,22
10.001,19,11,1,5,2,0,23
27.001,25,8,1,9,1,0,24
10.001,33,12,1,2,5,0,25
12.001,1,8,1,1,3,0,26
12.001,1,8,1,1,3,2,27
12.001,1,8,1,2,4,0,28
12.001,1,8,3,1,3,0,29
12.001,1,8,3,1,3,1,30
12.001,1,8,4,1,14,0,31
12.001,1,8,4,1,3,0,32
12.001,34,8,1,1,3,0,33
12.001,35,8,3,0,7,0,34
12.002,1,8,1,1,3,2,35
12.003,1,8,1,1,3,1,36
13.001,1,8,1,1,3,0,37
13.001,19,8,1,1,9,0,38
13.001,19,8,1,1,9,2,39
3.001,22,8,1,2,3,2,40
13.001,36,8,1,3,7,0,41
14.001,10,3,0,0,1,0,42
14.001,10,3,0,0,1,6,43
14.002,28,1,0,0,7,0,44
15.001,18,1,0,0,2,0,45
15.001,9,1,0,0,7,0,46
15.002,25,1,1,0,2,0,47
15.002,25,1,1,0,2,2,48
15.002,25,1,1,8,2,0,49
17.001,37,8,1,1,10,0,50
18.001,19,8,1,7,3,0,51
19.001,25,6,0,0,2,0,52
19.001,38,1,1,7,15,0,53
2.001,23,1,0,0,0,0,54
2.001,24,1,0,0,2,0,55
2.001,24,13,0,0,2,0,56
2.001,25,3,0,0,0,2,57
2.001,27,1,0,0,0,0,58
2.001,30,11,0,0,0,0,59
2.001,31,1,0,0,0,0,60
2.001,5,3,0,0,0,2,61
2.001,9,0,0,0,0,2,62
2.001,9,1,0,0,0,0,63
2.001,9,1,0,0,0,2,64
2.001,9,1,0,1,0,0,65
2.001,9,1,2,0,0,0,66
2.001,9,11,0,0,0,0,67
2.001,9,11,0,0,0,2,68
2.002,1,12,1,7,6,1,69
2.002,1,13,1,2,13,0,70
2.002,19,1,1,7,3,0,71
2.002,19,11,1,7,3,0,72
2.002,19,8,1,7,3,0,73
2.002,25,3,0,0,0,2,74
2.003,9,1,0,1,0,0,75
21.001,19,8,1,7,8,0,76
22.004,0,3,0,0,1,2,77
22.005,0,3,0,0,1,2,78
22.001,0,3,0,0,1,2,79
22.001,1,3,0,0,1,2,80
22.002,11,0,0,0,2,0,81
22.001,12,0,0,0,7,0,82
22.001,13,3,0,0,1,0,83
22.001,15,0,0,0,7,0,84
22.001,15,3,0,0,1,0,85
22.001,19,6,1,0,2,0,86
22.001,6,0,0,6,1,0,87
34.001,0,11,1,1,3,0,88
34.001,1,1,1,1,3,0,89
34.001,1,11,1,1,3,0,90
34.001,1,11,1,1,3,2,91
34.001,1,11,1,1,3,5,92
34.001,1,11,3,1,3,0,93
34.001,1,11,5,1,3,0,94
34.002,1,1,1,1,3,0,95
34.002,1,11,1,1,16,0,96
34.002,1,11,1,1,3,0,97
34.002,1,11,1,1,3,2,98
34.002,1,11,3,1,3,0,99
34.003,1,11,1,1,3,0,100
34.004,1,11,1,1,3,0,101
35.001,1,11,1,1,3,0,102
35.002,1,11,1,1,3,0,103
4.001,19,8,1,0,1,0,104
4.001,25,1,1,5,2,2,105
4.001,25,12,1,5,2,0,106
4.001,25,4,1,5,2,2,107
4.001,20,8,0,0,0,0,108
4.001,21,8,1,0,1,0,109
40.001,5,0,0,4,1,0,110
41.002,1,11,1,1,3,0,111
42.001,1,12,1,7,6,1,112
43.001,1,9,1,7,3,0,113
43.002,1,8,1,7,2,0,114
44.001,16,10,1,1,10,2,115
45.001,8,0,0,6,1,0,116
46.001,19,8,1,0,1,0,117
47.001,25,1,0,0,0,2,118
48.001,0,3,0,0,1,2,119
48.001,13,3,0,0,1,0,120
49.001,16,10,1,1,10,0,121
5.001,1,1,1,1,3,0,122
5.002,1,1,1,1,3,2,123
5.002,1,11,1,1,3,0,124
41.001,1,11,1,1,3,2,125
5.002,1,3,1,1,3,4,126
5.002,1,8,1,1,3,0,127
5.002,1,8,1,1,3,2,128
5.002,2,8,0,1,3,0,129
5.004,1,1,1,1,3,2,130
50.001,1,8,1,1,3,0,131
51.001,1,11,3,1,3,0,132
54.001,19,8,1,1,9,0,133
55.001,1,11,1,1,3,0,134
56.001,19,8,1,1,9,0,135
58.001,1,11,1,1,3,0,136
9.001,1,0,1,0,2,0,137
9.001,1,7,1,0,2,0,138
9.001,1,8,1,0,2,0,139
9.001,1,8,1,0,2,3,140
9.001,25,0,1,0,2,0,141
9.001,25,1,1,0,2,0,142
9.001,25,10,1,0,2,0,143
9.001,25,3,0,0,2,0,144
12.001,1,8,4,1,3,2,145
1.003,5,0,0,0,1,0,146
9.001,1,8,1,0,2,2,147
5.002,1,8,1,7,3,2,148
5.002,1,12,1,1,3,2,149
41.001,1,11,1,1,3,0,150
5.002,1,1,1,1,3,0,151
52.001,1,11,1,1,3,0,152
22.001,11,0,0,0,2,0,153
53.001,1,11,1,1,3,0,154
57.001,19,8,1,1,9,0,155
53.002,1,11,1,1,3,0,156
14.001,10,3,0,0,0,0,157
44.001,16,10,1,1,10,0,158
38.001,10,3,0,0,1,0,159
14.002,29,1,0,0,7,6,160
14.002,5,1,0,0,7,6,161
14.001,1,0,1,0,2,0,162
5.002,1,3,1,1,1,0,163
44.001,16,11,1,1,10,0,165
44.001,9,13,0,0,0,0,167
2.001,39,11,0,7,4,0,168
22.001,25,1,0,0,1,0,169
34.006,40,3,0,7,4,0,170
14.003,28,1,0,0,7,6,171
14.002,28,1,0,0,7,6,172
2.001,41,15,0,0,17,0,173
14.001,29,4,0,0,7,0,174
13.001,19,1,1,1,9,0,175
2.002,39,0,0,10,2,0,176
12.004,1,8,1,1,3,0,177
14.001,29,1,0,0,7,0,178
14.001,29,1,0,0,7,2,179
18.001,19,4,1,7,3,8,180
2.001,19,0,1,0,2,0,181
2.001,25,3,0,0,0,0,182
2.001,9,1,0,0,0,9,183
2.001,9,1,0,0,2,0,184
2.001,9,8,0,0,0,2,185
2.002,19,8,0,1,18,0,186
2.004,25,3,0,0,0,2,187
2.005,9,0,0,0,0,0,188
2.006,43,14,0,0,0,0,189
22.001,25,0,0,0,2,0,190
14.001,29,3,0,0,7,0,191
2.001,25,3,0,0,0,1,192
2.001,39,11,0,0,0,0,193
34.001,1,8,1,1,3,0,194
34.001,44,1,1,1,3,0,195
34.001,9,11,1,1,3,0,196
61.001,1,11,1,1,3,0,197
9.001,25,16,1,0,2,0,198
5.002,1,8,1,7,3,0,199
43.002,16,13,1,7,3,0,200
18.001,19,8,1,1,9,0,201
2.002,19,8,1,7,3,1,202
18.001,1,8,1,7,15,2,203
9.001,1,8,1,1,15,0,204
15.002,25,1,0,0,2,0,205
0.001,13,0,0,0,1,0,206
2.002,11,0,0,0,2,0,207
2.001,1,13,1,1,3,0,208
12.001,1,3,1,1,3,0,209
2.001,27,1,0,0,0,2,210
2.001,39,0,0,0,0,0,211
2.001,39,14,0,0,0,0,212
2.001,39,1,0,0,0,0,213
62.001,3,1,0,0,2,2,214
1.001,5,11,0,0,1,0,215
2.001,48,0,0,0,19,10,216
14.001,49,3,0,7,20,0,217
5.002,2,8,1,1,3,0,218
2.001,46,1,0,0,1,0,219
46.001,16,3,1,0,2,0,220
21.001,47,8,1,7,21,0,221
63.001,1,0,1,0,2,2,222
2.001,9,1,0,0,0,1,223
2.001,50,1,1,0,1,2,224
5.002,1,8,1,1,3,1,225
37.001,1,8,1,2,5,0,226
64.001,51,8,1,2,5,0,227
14.001,10,10,0,0,1,0,228
2.002,10,0,0,1,3,0,229
