aroE,gdh,gki,recP,spi,xpt,ddl,ST
1,1,1,1,1,1,1,1
1,1,4,1,18,13,18,2
1,5,1,8,14,11,14,3
1,5,2,20,1,1,1,4
1,5,2,11,9,3,51,5
1,5,2,1,9,3,49,6
1,5,4,1,5,1,8,7
1,5,4,5,17,1,8,8
1,5,4,5,5,1,8,9
1,5,4,5,9,1,10,10
1,5,4,5,10,1,8,11
1,5,4,4,9,3,16,12
1,5,4,5,5,27,8,13
1,5,4,5,5,1,14,14
1,5,4,5,5,3,8,15
1,5,4,12,5,27,8,16
1,5,4,11,9,3,47,17
1,5,4,11,9,3,16,18
1,5,4,18,9,3,16,19
1,5,4,1,5,3,3,20
1,5,4,11,9,3,4,21
1,5,4,11,9,43,52,22
1,5,4,5,35,3,8,23
1,5,4,5,5,1,24,24
1,5,4,1,5,3,8,25
1,5,7,12,26,1,14,26
1,5,9,1,14,14,6,27
1,5,9,1,9,14,6,28
1,5,10,5,5,3,8,29
1,5,27,20,1,1,1,30
1,5,31,5,5,3,8,31
1,6,4,5,15,1,20,32
1,8,1,2,6,4,6,33
1,8,4,1,5,4,6,34
1,8,4,1,23,4,6,35
1,8,4,1,1,4,6,36
1,8,6,2,6,4,6,37
1,8,6,2,5,4,6,38
1,8,6,2,22,4,6,39
1,8,9,1,5,4,6,40
1,8,9,5,11,1,12,41
1,8,9,9,6,4,6,42
1,10,4,1,9,3,8,43
1,11,10,1,6,8,1,44
1,12,1,23,15,26,14,45
1,12,4,16,31,1,14,46
1,13,8,6,10,6,14,47
1,26,28,11,13,30,14,48
1,26,28,11,6,1,14,49
2,1,18,1,19,19,14,50
7,14,4,12,1,1,6,51
2,2,2,2,2,1,1,52
2,5,1,11,16,3,14,53
2,5,1,11,6,3,14,54
2,5,1,12,16,3,14,55
2,5,1,11,16,44,14,56
2,5,12,10,6,10,32,57
2,5,12,10,6,10,5,58
2,5,21,12,10,21,14,59
2,5,23,18,10,3,1,60
2,5,29,18,9,3,18,61
2,5,29,12,16,3,14,62
2,5,36,12,17,21,14,63
2,6,6,12,16,3,14,64
2,7,4,10,10,1,27,65
2,8,2,4,6,1,1,66
2,8,7,4,6,1,1,67
2,8,9,5,12,1,13,68
2,8,37,4,6,1,1,69
2,13,1,4,6,12,1,70
2,13,2,4,6,1,1,71
2,13,2,4,9,4,1,72
2,13,2,15,6,1,1,73
2,13,4,1,6,6,14,74
2,13,8,25,25,6,8,75
2,13,9,15,6,19,42,76
2,14,4,12,1,1,14,77
2,24,2,4,9,4,31,78
